market,date_cet,area,contractName,contractId,deliveryStartUTC,deliveryEndUTC,deliveryStartCET,deliveryEndCET,vwap,volume,priceUnit,volumeUnit
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-26,NX_574032,2026-03-01T05:15:00Z,2026-03-01T05:30:00Z,2026-03-01T06:15:00+01:00,2026-03-01T06:30:00+01:00,21.07,334.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-27,NX_574034,2026-03-01T05:30:00Z,2026-03-01T05:45:00Z,2026-03-01T06:30:00+01:00,2026-03-01T06:45:00+01:00,22.23,336.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-28,NX_574035,2026-03-01T05:45:00Z,2026-03-01T06:00:00Z,2026-03-01T06:45:00+01:00,2026-03-01T07:00:00+01:00,19.47,325.6,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-29,NX_574039,2026-03-01T06:00:00Z,2026-03-01T06:15:00Z,2026-03-01T07:00:00+01:00,2026-03-01T07:15:00+01:00,8.35,221.2,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-30,NX_574041,2026-03-01T06:15:00Z,2026-03-01T06:30:00Z,2026-03-01T07:15:00+01:00,2026-03-01T07:30:00+01:00,9.93,232.7,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-31,NX_574043,2026-03-01T06:30:00Z,2026-03-01T06:45:00Z,2026-03-01T07:30:00+01:00,2026-03-01T07:45:00+01:00,9.19,255.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-32,NX_574044,2026-03-01T06:45:00Z,2026-03-01T07:00:00Z,2026-03-01T07:45:00+01:00,2026-03-01T08:00:00+01:00,10.32,273.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-33,NX_574047,2026-03-01T07:00:00Z,2026-03-01T07:15:00Z,2026-03-01T08:00:00+01:00,2026-03-01T08:15:00+01:00,23.06,606.1,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-34,NX_574048,2026-03-01T07:15:00Z,2026-03-01T07:30:00Z,2026-03-01T08:15:00+01:00,2026-03-01T08:30:00+01:00,14.35,534.4,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-35,NX_574050,2026-03-01T07:30:00Z,2026-03-01T07:45:00Z,2026-03-01T08:30:00+01:00,2026-03-01T08:45:00+01:00,14.2,516.4,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-36,NX_574052,2026-03-01T07:45:00Z,2026-03-01T08:00:00Z,2026-03-01T08:45:00+01:00,2026-03-01T09:00:00+01:00,9.97,640.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-37,NX_574055,2026-03-01T08:00:00Z,2026-03-01T08:15:00Z,2026-03-01T09:00:00+01:00,2026-03-01T09:15:00+01:00,36.81,668.2,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-38,NX_574057,2026-03-01T08:15:00Z,2026-03-01T08:30:00Z,2026-03-01T09:15:00+01:00,2026-03-01T09:30:00+01:00,15.77,502.1,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-39,NX_574059,2026-03-01T08:30:00Z,2026-03-01T08:45:00Z,2026-03-01T09:30:00+01:00,2026-03-01T09:45:00+01:00,3.12,656.4,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-40,NX_574060,2026-03-01T08:45:00Z,2026-03-01T09:00:00Z,2026-03-01T09:45:00+01:00,2026-03-01T10:00:00+01:00,-0.59,660.8,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-41,NX_574063,2026-03-01T09:00:00Z,2026-03-01T09:15:00Z,2026-03-01T10:00:00+01:00,2026-03-01T10:15:00+01:00,9.07,637.6,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-42,NX_574064,2026-03-01T09:15:00Z,2026-03-01T09:30:00Z,2026-03-01T10:15:00+01:00,2026-03-01T10:30:00+01:00,-1.09,912.4,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-43,NX_574066,2026-03-01T09:30:00Z,2026-03-01T09:45:00Z,2026-03-01T10:30:00+01:00,2026-03-01T10:45:00+01:00,-1.14,1269.6,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-44,NX_574068,2026-03-01T09:45:00Z,2026-03-01T10:00:00Z,2026-03-01T10:45:00+01:00,2026-03-01T11:00:00+01:00,-2.21,1519.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-45,NX_574071,2026-03-01T10:00:00Z,2026-03-01T10:15:00Z,2026-03-01T11:00:00+01:00,2026-03-01T11:15:00+01:00,2.88,1020.6,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-46,NX_574072,2026-03-01T10:15:00Z,2026-03-01T10:30:00Z,2026-03-01T11:15:00+01:00,2026-03-01T11:30:00+01:00,-0.76,886.3,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-47,NX_574074,2026-03-01T10:30:00Z,2026-03-01T10:45:00Z,2026-03-01T11:30:00+01:00,2026-03-01T11:45:00+01:00,-1.54,888.1,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-48,NX_574075,2026-03-01T10:45:00Z,2026-03-01T11:00:00Z,2026-03-01T11:45:00+01:00,2026-03-01T12:00:00+01:00,-2.3,904.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-49,NX_574078,2026-03-01T11:00:00Z,2026-03-01T11:15:00Z,2026-03-01T12:00:00+01:00,2026-03-01T12:15:00+01:00,-2.37,696.1,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-50,NX_574079,2026-03-01T11:15:00Z,2026-03-01T11:30:00Z,2026-03-01T12:15:00+01:00,2026-03-01T12:30:00+01:00,-3.67,922.0,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-51,NX_574081,2026-03-01T11:30:00Z,2026-03-01T11:45:00Z,2026-03-01T12:30:00+01:00,2026-03-01T12:45:00+01:00,-3.33,765.5,EUR/MWh,MW
IntradayContinuousVWAP,2026-03-01,FR,QH-20260301-52,NX_574082,2026-03-01T11:45:00Z,2026-03-01T12:00:00Z,2026-03-01T12:45:00+01:00,2026-03-01T13:00:00+01:00,-4.27,781.3,EUR/MWh,MW
