market,date_cet,area,deliveryStartUTC,deliveryEndUTC,deliveryStartCET,deliveryEndCET,price,currency
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T11:00:00Z,2026-01-01T11:15:00Z,2026-01-01T12:00:00+01:00,2026-01-01T12:15:00+01:00,59.51,EUR
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T11:15:00Z,2026-01-01T11:30:00Z,2026-01-01T12:15:00+01:00,2026-01-01T12:30:00+01:00,59.38,EUR
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T11:30:00Z,2026-01-01T11:45:00Z,2026-01-01T12:30:00+01:00,2026-01-01T12:45:00+01:00,58.13,EUR
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T11:45:00Z,2026-01-01T12:00:00Z,2026-01-01T12:45:00+01:00,2026-01-01T13:00:00+01:00,70.98,EUR
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T12:00:00Z,2026-01-01T12:15:00Z,2026-01-01T13:00:00+01:00,2026-01-01T13:15:00+01:00,66.03,EUR
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T12:15:00Z,2026-01-01T12:30:00Z,2026-01-01T13:15:00+01:00,2026-01-01T13:30:00+01:00,64.86,EUR
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T12:30:00Z,2026-01-01T12:45:00Z,2026-01-01T13:30:00+01:00,2026-01-01T13:45:00+01:00,56.51,EUR
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T12:45:00Z,2026-01-01T13:00:00Z,2026-01-01T13:45:00+01:00,2026-01-01T14:00:00+01:00,56.61,EUR
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T13:00:00Z,2026-01-01T13:15:00Z,2026-01-01T14:00:00+01:00,2026-01-01T14:15:00+01:00,60.91,EUR
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T13:15:00Z,2026-01-01T13:30:00Z,2026-01-01T14:15:00+01:00,2026-01-01T14:30:00+01:00,77.05,EUR
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T13:30:00Z,2026-01-01T13:45:00Z,2026-01-01T14:30:00+01:00,2026-01-01T14:45:00+01:00,79.88,EUR
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T13:45:00Z,2026-01-01T14:00:00Z,2026-01-01T14:45:00+01:00,2026-01-01T15:00:00+01:00,89.93,EUR
SIDC_IntradayAuction3,2026-01-01,AT,2026-01-01T14:00:00Z,2026-01-01T14:15:00Z,2026-01-01T15:00:00+01:00,2026-01-01T15:15:00+01:00,80.69,EUR
